Horizon,Index,Loss,Model,N,Mean_Loss,In_MCS,MCS_PValue,Elimination_Order,Method,Alpha,Reps,Block_Size,Seed,Note
1day,^HSI,QLIKE,HistoricalVolatility,787,-0.5494551422353892,True,1.0,13,R,0.1,10000,35,20260925,identical forecasts to Persistence; result is Persistence's
1day,^HSI,QLIKE,Persistence,787,-0.5494551422353892,True,1.0,13,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,GARCH,787,-0.5419592550269298,False,0.0081,5,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,EGARCH,787,-0.5379013224043446,False,0.0217,10,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,GJRGARCH,787,-0.5408981286061324,False,0.0001,2,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,LinearRegression,787,-0.5489207039638594,True,0.1524,12,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,RandomForest,787,-0.5489002640681758,False,0.0183,9,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,XGBoost,787,-0.5482778473762692,False,0.0136,7,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,LSTM,787,-0.5471761811593933,False,0.0001,1,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,GRU,787,-0.5456690288621531,False,0.0054,4,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,Transformer,787,-0.48448488125540035,False,0.0183,8,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,GARCHLSTM,787,-0.548604795077392,False,0.038,11,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,GARCHGRU,787,-0.5442203941913694,False,0.0022,3,R,0.1,10000,35,20260925,
1day,^HSI,QLIKE,GARCHTransformer,787,-0.4785031143363046,False,0.0084,6,R,0.1,10000,35,20260925,
1day,^HSI,SquaredError,HistoricalVolatility,787,0.00043742317603289815,True,0.7934,12,R,0.1,10000,85,20260925,identical forecasts to Persistence; result is Persistence's
1day,^HSI,SquaredError,Persistence,787,0.00043742317603289815,True,0.7934,12,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,GARCH,787,0.0017529574096923708,False,0.0934,8,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,EGARCH,787,0.002412890900025766,True,0.1009,10,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,GJRGARCH,787,0.0021021926696366882,False,0.0934,7,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,LinearRegression,787,0.00043427413351976215,True,1.0,13,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,RandomForest,787,0.0004866534834865996,False,0.0863,5,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,XGBoost,787,0.0006101811924855943,False,0.0934,9,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,LSTM,787,0.0006384105087459185,False,0.0092,1,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,GRU,787,0.0012704665262120685,True,0.1009,11,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,Transformer,787,0.00757372414839531,False,0.0863,6,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,GARCHLSTM,787,0.0005406322839764092,False,0.0657,3,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,GARCHGRU,787,0.0010560916646553007,False,0.062,2,R,0.1,10000,85,20260925,
1day,^HSI,SquaredError,GARCHTransformer,787,0.008064272518166058,False,0.0657,4,R,0.1,10000,85,20260925,
1day,000001.SS,QLIKE,HistoricalVolatility,787,-1.0976094948159556,True,1.0,13,R,0.1,10000,44,20260925,identical forecasts to Persistence; result is Persistence's
1day,000001.SS,QLIKE,Persistence,787,-1.0976094948159556,True,1.0,13,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,GARCH,787,-1.054625962780085,False,0.0,2,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,EGARCH,787,-1.0694200254251498,False,0.0008,4,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,GJRGARCH,787,-1.0442715931969446,False,0.0,1,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,LinearRegression,787,-1.0970148681279444,True,0.3506,12,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,RandomForest,787,-1.0968523943823825,True,0.2329,11,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,XGBoost,787,-1.0957473892329495,False,0.028,9,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,LSTM,787,-1.0941563309897386,False,0.028,8,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,GRU,787,-1.0896238160966627,False,0.0017,5,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,Transformer,787,-1.0452956625199312,False,0.0173,7,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,GARCHLSTM,787,-1.0938680152145779,False,0.0037,6,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,GARCHGRU,787,-1.094193093735386,False,0.028,10,R,0.1,10000,44,20260925,
1day,000001.SS,QLIKE,GARCHTransformer,787,-1.0400982652998576,False,0.0008,3,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,HistoricalVolatility,787,0.0001958246828380334,True,0.3558,12,R,0.1,10000,44,20260925,identical forecasts to Persistence; result is Persistence's
1day,000001.SS,SquaredError,Persistence,787,0.0001958246828380334,True,0.3558,12,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,GARCH,787,0.0018688171393053958,False,0.0,2,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,EGARCH,787,0.0016253402581826195,False,0.0188,9,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,GJRGARCH,787,0.0022049968740886013,False,0.0,1,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,LinearRegression,787,0.0001864631648031721,True,1.0,13,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,RandomForest,787,0.0002130489179934418,False,0.0079,5,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,XGBoost,787,0.0002537093435981359,False,0.0001,3,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,LSTM,787,0.0002756476183941867,False,0.0019,4,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,GRU,787,0.00045785330229942424,False,0.0088,6,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,Transformer,787,0.003743263777491269,False,0.0223,11,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,GARCHLSTM,787,0.00031592658464545223,False,0.0223,10,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,GARCHGRU,787,0.0002778840355084871,False,0.0179,7,R,0.1,10000,44,20260925,
1day,000001.SS,SquaredError,GARCHTransformer,787,0.0035909602588444106,False,0.0179,8,R,0.1,10000,44,20260925,
5day,^GSPC,QLIKE,HistoricalVolatility,787,-1.063178935474712,True,0.6652,11,R,0.1,10000,39,20260925,identical forecasts to Persistence; result is Persistence's
5day,^GSPC,QLIKE,Persistence,787,-1.063178935474712,True,0.6652,11,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,GARCH,787,-1.054860463505864,False,0.0068,5,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,EGARCH,787,-1.0536379038265753,False,0.0012,2,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,GJRGARCH,787,-1.0595266447374667,False,0.0068,4,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,LinearRegression,787,-1.0631185897687652,True,0.6652,12,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,RandomForest,787,-1.0590327930950514,True,0.2765,10,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,XGBoost,787,-1.0542660359667826,False,0.0009,1,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,LSTM,787,-1.0482991160948005,False,0.0233,6,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,GRU,787,-1.0579327362506363,False,0.026,7,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,Transformer,787,-1.0211188642704343,False,0.0068,3,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,GARCHLSTM,787,-1.0591556951157939,False,0.0496,9,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,GARCHGRU,787,-1.0648700808023874,True,1.0,13,R,0.1,10000,39,20260925,
5day,^GSPC,QLIKE,GARCHTransformer,787,-1.0087148882396395,False,0.0455,8,R,0.1,10000,39,20260925,
5day,^GSPC,SquaredError,HistoricalVolatility,787,0.0008627657622502816,True,0.371,11,R,0.1,10000,85,20260925,identical forecasts to Persistence; result is Persistence's
5day,^GSPC,SquaredError,Persistence,787,0.0008627657622502816,True,0.371,11,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,GARCH,787,0.0009758901665665917,False,0.0478,3,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,EGARCH,787,0.0012545996967653272,False,0.0478,4,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,GJRGARCH,787,0.0009845852028013693,False,0.0259,1,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,LinearRegression,787,0.0007258682103134288,True,0.5003,12,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,RandomForest,787,0.0011139275140330676,True,0.1376,9,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,XGBoost,787,0.0012624922036879953,False,0.0478,2,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,LSTM,787,0.0019362519099746587,True,0.1283,6,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,GRU,787,0.0008594316291687953,False,0.0908,5,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,Transformer,787,0.0029283550101828425,True,0.1376,8,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,GARCHLSTM,787,0.001057074105135403,True,0.1376,7,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,GARCHGRU,787,0.0006120354645590638,True,1.0,13,R,0.1,10000,85,20260925,
5day,^GSPC,SquaredError,GARCHTransformer,787,0.004139755541820496,True,0.1376,10,R,0.1,10000,85,20260925,
5day,^IXIC,QLIKE,HistoricalVolatility,787,-0.7422091029471576,True,0.6426,11,R,0.1,10000,38,20260925,identical forecasts to Persistence; result is Persistence's
5day,^IXIC,QLIKE,Persistence,787,-0.7422091029471576,True,0.6426,11,R,0.1,10000,38,20260925,
5day,^IXIC,QLIKE,GARCH,787,-0.7422775192244462,True,0.6426,12,R,0.1,10000,38,20260925,
5day,^IXIC,QLIKE,EGARCH,787,-0.739219259647016,False,0.0908,8,R,0.1,10000,38,20260925,
5day,^IXIC,QLIKE,GJRGARCH,787,-0.7388466310092596,False,0.0748,7,R,0.1,10000,38,20260925,
5day,^IXIC,QLIKE,LinearRegression,787,-0.74186134263401,True,0.6372,10,R,0.1,10000,38,20260925,
