Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
hybrid_vs_garch,1day,^N225,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.000456603038036291,0.002448713707383687,-0.001992110669347396,A_lower,-2.2836248345720067,t(T-1),Bartlett,19,auto_floor_h-1,0.000598897004142413,0.02265958124139806,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.8409335761152568,0.05,False,tested
hybrid_vs_garch,1day,^N225,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0004522548439954968,0.002448713707383687,-0.0019964588633881904,A_lower,-2.2389633701029594,t(T-1),Bartlett,21,auto_floor_h-1,0.0006257509066516372,0.02543736504993797,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.9157451417977669,0.05,False,tested
hybrid_vs_garch,1day,^N225,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00749115572639166,0.002448713707383687,0.005042442019007973,B_lower,1.9027525668675254,t(T-1),Bartlett,24,auto_floor_h-1,0.005527031320668008,0.05743801113160029,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^N225,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.000456603038036291,0.002448713707383687,-0.001992110669347396,A_lower,-2.2474297634243525,t(T-1),Bartlett,21,fixed_21,0.0006183429295037306,0.024889173075407073,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.9208994037900617,0.05,False,tested
hybrid_vs_garch,1day,^N225,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0004522548439954968,0.002448713707383687,-0.0019964588633881904,A_lower,-2.2389633701029594,t(T-1),Bartlett,21,fixed_21,0.0006257509066516372,0.02543736504993797,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.9208994037900617,0.05,False,tested
hybrid_vs_garch,1day,^N225,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00749115572639166,0.002448713707383687,0.005042442019007973,B_lower,1.934204045561211,t(T-1),Bartlett,21,fixed_21,0.005348746114340351,0.05344667330184758,holm,hybrid_vs_garch|SquaredError|fixed_21,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^HSI,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.548604795077392,-0.5419592550269298,-0.006645540050462331,A_lower,-4.191603097062187,t(T-1),Bartlett,10,auto_floor_h-1,0.0019782218142427397,3.084511772891282e-05,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.0014188754155299898,0.05,True,tested
hybrid_vs_garch,1day,^HSI,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.5442203941913694,-0.5419592550269298,-0.0022611391644395762,A_lower,-1.332387307753924,t(T-1),Bartlett,15,auto_floor_h-1,0.0022665658606045524,0.18311910129937603,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^HSI,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.4785031143363046,-0.5419592550269298,0.06345614069062504,B_lower,3.6675153906741786,t(T-1),Bartlett,24,auto_floor_h-1,0.2356015553286574,0.0002614155299180564,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.0101952056668042,0.05,True,tested
hybrid_vs_garch,1day,^HSI,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.548604795077392,-0.5419592550269298,-0.006645540050462331,A_lower,-3.7255713761657843,t(T-1),Bartlett,21,fixed_21,0.0025040875865473596,0.00020881886936420505,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.008143935905203997,0.05,True,tested
