Horizon,Index,Model,Validation_RMSE,Validation_MAE,Validation_QLIKE,Test_RMSE,Test_MAE,Test_QLIKE
5day,^GDAXI,LinearRegression,0.039662856366242,0.026113645085516793,-0.6730998823033798,0.022957597615775302,0.015392762658222503,-1.0476371751330762
5day,^N225,LinearRegression,0.031767503668438286,0.02188482525110929,-0.7022725341416732,0.05194702889098187,0.024946738696244527,-0.7219119347890108
5day,^HSI,LinearRegression,0.042213296199038346,0.026869394703590163,-0.5699351746965224,0.04870997231673903,0.027472453307732386,-0.5021166566199625
5day,000001.SS,LinearRegression,0.02976523863240084,0.01880913695815698,-0.8991947349176873,0.035160375440028,0.020109768008696183,-1.0416239030733312
5day,^GSPC,RandomForest,0.05288990011122656,0.027607831877606535,-0.7878890077869675,0.03395741121779666,0.02117485539850823,-1.0353243433883303
5day,^IXIC,RandomForest,0.05568997335571261,0.03350002641953175,-0.549670174424217,0.04108942169977405,0.02604906450567834,-0.7174405078431904
5day,^FTSE,RandomForest,0.039287610563702065,0.024332588247140817,-0.8403632637213799,0.024089624508313263,0.01406826757820583,-1.3323739403916346
5day,^GDAXI,RandomForest,0.0508892136420177,0.031812640089668234,-0.6665262771127421,0.027783637847216696,0.01915793309761687,-1.043471902185374
5day,^N225,RandomForest,0.0621812133296099,0.029154995419876612,-0.6988503497804638,0.060891972869645726,0.03634588464050054,-0.7151769436402887
5day,^HSI,RandomForest,0.05378760327762537,0.03176861214040518,-0.5669928977406371,0.05180487733594671,0.02850341127973656,-0.5101820112352623
5day,000001.SS,RandomForest,0.031887696713322596,0.02057606746992553,-0.8979408282731325,0.0358849676717757,0.021739018338430362,-1.0666368898674392
5day,^GSPC,XGBoost,0.056422187454095815,0.03071008402858304,-0.7856830169492012,0.03623048419452442,0.02434179937538156,-1.030596996402123
5day,^IXIC,XGBoost,0.06050423178567794,0.035855795781932466,-0.5469980311414979,0.046496207502782216,0.031021911971547796,-0.7090664334297287
5day,^FTSE,XGBoost,0.0399157225968606,0.025600092833552666,-0.8382120305844306,0.026773332418502542,0.017410337545314025,-1.3267150803910674
5day,^GDAXI,XGBoost,0.0496557057849142,0.03301136212745527,-0.6660235908107481,0.034586098013931234,0.02439570118376121,-1.0362542304783955
5day,^N225,XGBoost,0.05512308951773923,0.030671162617368845,-0.6975190508414275,0.061787755718309814,0.03703416761892088,-0.7144945933392236
5day,^HSI,XGBoost,0.06903800757581141,0.036452175779162495,-0.5641680773504268,0.0538217967437281,0.03243053381545323,-0.5083133220972578
5day,000001.SS,XGBoost,0.035974141174539384,0.024422739254983197,-0.8929579152047272,0.04013164780877222,0.028208349471539586,-1.0585132556452184
22day,^GSPC,HistoricalVolatility,0.15692653720838812,0.08696665095300123,-0.6260325553384738,0.07806797851414458,0.04779703459142565,-0.9646326047287889
22day,^IXIC,HistoricalVolatility,0.15472155927864967,0.09099512312391957,-0.4282663262343283,0.09265259428940958,0.06001232481501749,-0.6612384671980547
22day,^FTSE,HistoricalVolatility,0.11024840805025851,0.07081558174649549,-0.7207808904785324,0.06230933051102948,0.03499076857770189,-1.25314462078248
22day,^GDAXI,HistoricalVolatility,0.12501310511669514,0.08213673971466441,-0.5488274676929319,0.06098088495247221,0.041779262505207554,-0.9897030047852314
22day,^N225,HistoricalVolatility,0.08477642539373859,0.055215750174007774,-0.6531023377585332,0.13988055025274468,0.07676913151364241,-0.6097243133290097
22day,^HSI,HistoricalVolatility,0.10282732261436964,0.07371065017538364,-0.49809370113389373,0.11437787780154805,0.07398823404315054,-0.4511118094211136
22day,000001.SS,HistoricalVolatility,0.07208563704999317,0.04791657360855115,-0.8291737033743519,0.08724362675130508,0.053623970949873825,-0.9537567248784699
22day,^GSPC,Persistence,0.15692653720838812,0.08696665095300123,-0.6260325553384738,0.07806797851414458,0.04779703459142565,-0.9646326047287889
22day,^IXIC,Persistence,0.15472155927864967,0.09099512312391957,-0.4282663262343283,0.09265259428940958,0.06001232481501749,-0.6612384671980547
22day,^FTSE,Persistence,0.11024840805025851,0.07081558174649549,-0.7207808904785324,0.06230933051102948,0.03499076857770189,-1.25314462078248
22day,^GDAXI,Persistence,0.12501310511669514,0.08213673971466441,-0.5488274676929319,0.06098088495247221,0.041779262505207554,-0.9897030047852314
22day,^N225,Persistence,0.08477642539373859,0.055215750174007774,-0.6531023377585332,0.13988055025274468,0.07676913151364241,-0.6097243133290097
22day,^HSI,Persistence,0.10282732261436964,0.07371065017538364,-0.49809370113389373,0.11437787780154805,0.07398823404315054,-0.4511118094211136
22day,000001.SS,Persistence,0.07208563704999317,0.04791657360855115,-0.8291737033743519,0.08724362675130508,0.053623970949873825,-0.9537567248784699
22day,^GSPC,GARCH,0.12609629967054392,0.06813314961109207,-0.6730370451580492,0.06234293286928997,0.03918655352904403,-0.996962206208495
22day,^IXIC,GARCH,0.1266155639116959,0.07653025307807251,-0.4599661352704484,0.07519492147568746,0.048603035790693104,-0.6858495629388758
