Horizon,Index,Model,Date,Actual,Predicted,SquaredError,AbsoluteError,QLIKE_Loss
5day,^GSPC,GARCHGRU,2023-08-04,0.0941685552532382,0.1167362332344055,0.0005093000894616637,0.02256767798116731,-1.3411602708842274
5day,^GSPC,GARCHGRU,2023-08-07,0.0916474292799282,0.1138601824641227,0.0004934064040219432,0.02221275318419451,-1.3678720345533568
5day,^GSPC,GARCHGRU,2023-08-08,0.0994636961981655,0.1186370104551315,0.0003676159795963757,0.019173314256966,-1.2933000419548817
5day,^GSPC,GARCHGRU,2023-08-09,0.1007266106405819,0.1205534562468528,0.00039310380669490386,0.019826845606270904,-1.2801271818349294
5day,^GSPC,GARCHGRU,2023-08-10,0.0985501380608228,0.1155394464731216,0.0002886366003282068,0.0169893084122988,-1.30518663933834
5day,^GSPC,GARCHGRU,2023-08-11,0.097618638835952,0.117898516356945,0.0004112734322664772,0.020279877520993,-1.3099423592824033
5day,^GSPC,GARCHGRU,2023-08-14,0.1004644232308539,0.1133978590369224,0.00016727376174969466,0.012933435806068497,-1.2909063830494758
5day,^GSPC,GARCHGRU,2023-08-15,0.1003840243937836,0.1198943480849266,0.0003806527305331758,0.019510323691143,-1.283873659581132
5day,^GSPC,GARCHGRU,2023-08-16,0.1075037344338831,0.1264110952615738,0.00035748829346849244,0.018907360827690692,-1.217786443868281
5day,^GSPC,GARCHGRU,2023-08-17,0.1142290028771699,0.1326567381620407,0.0003395814277292726,0.018427735284870808,-1.1589033263755892
5day,^GSPC,GARCHGRU,2023-08-18,0.1178127502783912,0.1359389722347259,0.0003285599224103098,0.01812622195633469,-1.128890105850009
5day,^GSPC,GARCHGRU,2023-08-21,0.1194089816682757,0.1282426565885543,7.803381259715919e-05,0.008833674920278603,-1.122713556136055
5day,^GSPC,GARCHGRU,2023-08-22,0.125272691631445,0.1204203143715858,2.3545565071998625e-05,0.004852377259859195,-1.0764716984046845
5day,^GSPC,GARCHGRU,2023-08-23,0.1260474249992064,0.114722341299057,0.00012825752081538954,0.011325083700149396,-1.0665231593787887
5day,^GSPC,GARCHGRU,2023-08-24,0.1259028479455892,0.1236685439944267,4.992114146180373e-06,0.002234303951162503,-1.0720834510220847
5day,^GSPC,GARCHGRU,2023-08-25,0.1169857534241818,0.1240417435765266,4.978699702998682e-05,0.0070559901523448015,-1.144021125143881
5day,^GSPC,GARCHGRU,2023-08-28,0.1166299451553354,0.1187523081898689,4.50442485035426e-06,0.002122363034533503,-1.1485875822964742
5day,^GSPC,GARCHGRU,2023-08-29,0.1160656563956733,0.1154984608292579,3.2171081056129455e-07,0.0005671955664154071,-1.1535872256951496
5day,^GSPC,GARCHGRU,2023-08-30,0.1141221049667679,0.1158422827720642,2.9590116818339652e-06,0.0017201778052962913,-1.1703749528839003
5day,^GSPC,GARCHGRU,2023-08-31,0.1137805439289121,0.1155900880694389,3.2744499965149067e-06,0.0018095441405268087,-1.1733599080874901
5day,^GSPC,GARCHGRU,2023-09-01,0.1114996927471576,0.1163647398352623,2.3668683169476035e-05,0.0048650470881047014,-1.1928343138966522
5day,^GSPC,GARCHGRU,2023-09-04,0.1138581607404636,0.1143082305788993,2.0256285946954353e-07,0.00045006983843570714,-1.1727940375716512
5day,^GSPC,GARCHGRU,2023-09-05,0.1155456418218318,0.1140422150492668,2.260292060465213e-06,0.0015034267725650002,-1.1580035193294107
5day,^GSPC,GARCHGRU,2023-09-06,0.1138479400209695,0.1177845746278762,1.5497092028295467e-05,0.0039366346069067,-1.1723202890965343
5day,^GSPC,GARCHGRU,2023-09-07,0.1098970438895256,0.1219422817230224,0.00014508775446550267,0.0120452378334968,-1.2029856365027316
5day,^GSPC,GARCHGRU,2023-09-08,0.1150987497783013,0.1191369816660881,1.6307316779538187e-05,0.004038231887786806,-1.1613770456307355
5day,^GSPC,GARCHGRU,2023-09-11,0.1113533084365124,0.1120884045958519,5.403663634756901e-07,0.0007350961593395045,-1.1950255743099358
5day,^GSPC,GARCHGRU,2023-09-12,0.1117764262941417,0.1154544651508331,1.3527969831331831e-05,0.003678038856691407,-1.1907361194974637
5day,^GSPC,GARCHGRU,2023-09-13,0.1146900236038584,0.1143785044550895,9.704418004969768e-08,0.0003115191487688962,-1.1655185345733106
5day,^GSPC,GARCHGRU,2023-09-14,0.1274664084015114,0.1077037081122398,0.00039056432272357636,0.019762700289271615,-1.0448799015876153
5day,^GSPC,GARCHGRU,2023-09-15,0.1207296601425001,0.1106963381171226,0.00010066755086492532,0.010033322025377503,-1.1103262722523988
5day,^GSPC,GARCHGRU,2023-09-18,0.1136014846655176,0.1137192249298095,1.3862769835526224e-08,0.00011774026429189899,-1.1750581671870262
5day,^GSPC,GARCHGRU,2023-09-19,0.1206185116348285,0.1152255684137344,2.908383658594494e-05,0.0053929432210941125,-1.1140602519854024
5day,^GSPC,GARCHGRU,2023-09-20,0.1177361312215979,0.119397260248661,2.759349644551598e-06,0.001661129027063099,-1.1392116469261668
5day,^GSPC,GARCHGRU,2023-09-21,0.1068051810257116,0.1345316022634506,0.0007687544346525441,0.027726421237738996,-1.2120521177631198
5day,^GSPC,GARCHGRU,2023-09-22,0.1047648311655688,0.1330067962408065,0.000797608591310946,0.0282419650752377,-1.2296898043691242
5day,^GSPC,GARCHGRU,2023-09-25,0.1050613607906246,0.1343032270669937,0.0008550867433250532,0.029241866276369113,-1.2253853304660298
5day,^GSPC,GARCHGRU,2023-09-26,0.1109659524223461,0.1481818854808807,0.0013850256734173295,0.037215933058534614,-1.160465158243714
5day,^GSPC,GARCHGRU,2023-09-27,0.1167814056417746,0.1471052169799804,0.0009195335340750996,0.030323811338205817,-1.122744072440193
5day,^GSPC,GARCHGRU,2023-09-28,0.1167189992057237,0.1407848000526428,0.0005791627704035715,0.02406580084691909,-1.1314631299945122
5day,^GSPC,GARCHGRU,2023-09-29,0.1249591335399001,0.1317214071750641,4.5728344716834e-05,0.00676227363516399,-1.0784038350367573
5day,^GSPC,GARCHGRU,2023-10-02,0.1276173316026876,0.1300432384014129,5.885023796101699e-06,0.0024259067987253136,-1.0585428976843672
5day,^GSPC,GARCHGRU,2023-10-03,0.129173970222639,0.1478107422590255,0.00034732927193623786,0.0186367720363865,-1.0379079614424889
5day,^GSPC,GARCHGRU,2023-10-04,0.1276899849278649,0.1480415165424347,0.00041418483905883365,0.02035153161456979,-1.0477343129266685
5day,^GSPC,GARCHGRU,2023-10-05,0.1279418210548184,0.1439976394176483,0.00025778930330018506,0.016055818362829877,-1.0494589389255782
5day,^GSPC,GARCHGRU,2023-10-06,0.128290910076618,0.1352762579917907,4.879508549600745e-05,0.0069853479151726905,-1.0520738848859228
5day,^GSPC,GARCHGRU,2023-10-09,0.130451005718706,0.135040134191513,2.1060100139928032e-05,0.004589128472807014,-1.0361666957135132
5day,^GSPC,GARCHGRU,2023-10-10,0.1246324835481655,0.128223717212677,1.28969592331207e-05,0.0035912336645115006,-1.0819863115948625
5day,^GSPC,GARCHGRU,2023-10-11,0.1316424504649131,0.1244843229651451,5.123878930293495e-05,0.007158127499768005,-1.0260732502867258
5day,^GSPC,GARCHGRU,2023-10-12,0.1338013166745635,0.1264691203832626,5.376110245416646e-05,0.007332196291300885,-1.0097809298094624
5day,^GSPC,GARCHGRU,2023-10-13,0.1364509827766747,0.1327410787343979,1.3763388002901792e-05,0.003709904042276807,-0.9914063999357128
5day,^GSPC,GARCHGRU,2023-10-16,0.1261740847116517,0.1295324862003326,1.1278860559174167e-05,0.003358401488680912,-1.0697506688038103
5day,^GSPC,GARCHGRU,2023-10-17,0.1292705224086116,0.1249278411269187,1.885888071436582e-05,0.004342681281692892,-1.045257462280803
5day,^GSPC,GARCHGRU,2023-10-18,0.1359952339674963,0.1317711621522903,1.7842782700017794e-05,0.00422407181520601,-0.994632363730118
5day,^GSPC,GARCHGRU,2023-10-19,0.1328887833003006,0.1392248719930648,4.014601992257431e-05,0.006336088692764197,-1.0171746158761048
5day,^GSPC,GARCHGRU,2023-10-20,0.1332085797649541,0.1537874788045883,0.00042349108568345725,0.020578899039634196,-1.0059975161530317
5day,^GSPC,GARCHGRU,2023-10-23,0.1388099730366548,0.1518572568893432,0.0001702316159326238,0.013047283852688413,-0.970732378163727
5day,^GSPC,GARCHGRU,2023-10-24,0.1412368038621585,0.1431814581155777,3.7816801653413565e-06,0.0019446542534191924,-0.9572242616730591
5day,^GSPC,GARCHGRU,2023-10-25,0.1464625537387789,0.1518618762493133,2.9152683572763543e-05,0.0053993225105344045,-0.9203380471576066
5day,^GSPC,GARCHGRU,2023-10-26,0.1522667494630277,0.1646531671285629,0.00015342334258508232,0.012386417665535193,-0.8791413619472896
5day,^GSPC,GARCHGRU,2023-10-27,0.1530416885383964,0.1614143401384353,7.010129481563422e-05,0.008372651600038916,-0.8756512348418206
5day,^GSPC,GARCHGRU,2023-10-30,0.1528394013806181,0.1567875295877456,1.5587716339915847e-05,0.003948128207127505,-0.8780450966885014
5day,^GSPC,GARCHGRU,2023-10-31,0.1483258484433665,0.1522592455148697,1.547161252210993e-05,0.003933397071503197,-0.9080041999314276
5day,^GSPC,GARCHGRU,2023-11-01,0.1470246618104049,0.1434747725725174,1.2601713601269608e-05,0.0035498892378875158,-0.9168538063186524
5day,^GSPC,GARCHGRU,2023-11-02,0.1488064023096803,0.1396910995244979,8.308874486555422e-05,0.009115302785182411,-0.903068443561166
5day,^GSPC,GARCHGRU,2023-11-03,0.1573740381127756,0.1388597041368484,0.00034278056257217206,0.018514333975927194,-0.8409599567722639
5day,^GSPC,GARCHGRU,2023-11-06,0.1556796266887689,0.1399257481098175,0.00024818469028034334,0.015753878578951386,-0.8540559505169032
5day,^GSPC,GARCHGRU,2023-11-07,0.1659380151698514,0.1371502429246902,0.0008287358308392744,0.028787772245161214,-0.7767787551467809
5day,^GSPC,GARCHGRU,2023-11-08,0.1629753909709064,0.1345317065715789,0.0008090431822085473,0.028443684399327512,-0.7945280048668459
5day,^GSPC,GARCHGRU,2023-11-09,0.1628988086988325,0.1342257261276245,0.0008221456641353111,0.028673082571207986,-0.7946139899176132
5day,^GSPC,GARCHGRU,2023-11-10,0.1541516665795878,0.1330661475658416,0.0004445991120790523,0.021085519013746196,-0.8584499968997974
5day,^GSPC,GARCHGRU,2023-11-13,0.1504061134210298,0.1336028128862381,0.0002823509088625312,0.016803300534791704,-0.8871134040087676
5day,^GSPC,GARCHGRU,2023-11-14,0.1413347453367186,0.1303005069494247,0.00012175441678763075,0.011034238387293921,-0.9532288999493257
5day,^GSPC,GARCHGRU,2023-11-15,0.1402550804804456,0.1316264569759369,7.445314358256026e-05,0.008628623504508715,-0.9622333705453014
5day,^GSPC,GARCHGRU,2023-11-16,0.1400914955050541,0.133842721581459,3.904717554820213e-05,0.006248773923595102,-0.9644024487402505
5day,^GSPC,GARCHGRU,2023-11-17,0.1259016555813017,0.1346594840288162,7.669955911609411e-05,0.008757828447514493,-1.0700428759246077
5day,^GSPC,GARCHGRU,2023-11-20,0.1149692082371778,0.1319525241851806,0.00028843302058968674,0.016983315948002814,-1.1540208625254476
5day,^GSPC,GARCHGRU,2023-11-21,0.1110488764128766,0.1327974647283554,0.0004730010937161814,0.02174858831547881,-1.1827027499171816
5day,^GSPC,GARCHGRU,2023-11-22,0.1093674853243588,0.1292479932308197,0.00039523459461885427,0.019880507906460898,-1.1998390546919275
5day,^GSPC,GARCHGRU,2023-11-23,0.1090227542775914,0.1273787170648574,0.00033694136984749437,0.018355962787266006,-1.2046960200396197
5day,^GSPC,GARCHGRU,2023-11-24,0.1067870930861614,0.1249951645731926,0.0003315338672768386,0.0182080714870312,-1.2251504327597558
5day,^GSPC,GARCHGRU,2023-11-27,0.0968320780469244,0.122543454170227,0.0006610748621539349,0.0257113761233026,-1.3091039416475019
